Category,Expense
Entertainment,Sport tickets
Food,Curd
Housing,Rent
Food,Pizza
Travel,Gasoline
Entertainment,Pottery painting or ceramics studio fees
Entertainment,Art or craft fairs
Travel,International SIM card
Entertainment,Salsa or tango dance nights
Housing,Gunny bag
Entertainment,Circus or acrobatics performances
Savings,Travel Savings
Housing,LPG bill
Savings,Diamond ring
Food,Peppers
Housing,Trash Collection
Entertainment,Speakers
Personal and Health Care,Spa or wellness gift certificates
Miscellaneous,Mobile charger
Food,Baby formula or baby food purchases
Savings,Peer-to-peer lending investments
Housing,Wrenches
Travel,Suite cost
Personal and Health Care,Glasses/Contact Lenses
Housing,Hammer
Food,Takeout or food delivery services
Savings,Emergency Fund
Entertainment,Ghost tours or haunted house visits
Housing,Property management software or apps
Food,Canned or packaged goods
Food,Bisi bele bath
Travel,Hot air balloon ride over scenic landscapes
Travel,Kit bag
Personal and Health Care,Chiropractic or alternative medicine treatments
Savings,High-yield savings account fees
Food,Fresh seafood purchases
Housing,Microwaves
Travel,Guided hiking or trekking expedition
Food,Groceries
Savings,Cryptocurrency
Housing,Storage unit rental fees
Housing,Sprinkler system repairs or installations
Personal and Health Care,Medicines
Entertainment,Wine and cheese tastings
Housing,Mortgage Payment
Housing,Security deposit
Housing,Trash Collection
Food,Rice
Savings,Royalties or passive income investments
Personal and Health Care,Doctor's Visit
Travel,Luxury train ride through scenic countryside
Housing,Landscaping and yard maintenance
Personal and Health Care,Manicures and pedicures
Savings,Venture capital investments
Personal and Health Care,Physiotherapy
Entertainment,Wine or cocktail mixology classes
Savings,Down Payment Savings
Food,Salad bar or deli counter purchases
Personal and Health Care,Face wash
Housing,Pet deposit 
Personal and Health Care,Mental health medications
Housing,Dishwashers
Entertainment,Movie
Savings,Sustainability or socially responsible investments
Food,Eating at a Cafe
Savings,Corporate bond purchases
Housing,Garage organization systems
Travel,Travel-sized toiletry kit
Savings,Legal or tax advice fees related to investments
Personal and Health Care,Gym Equipment
Entertainment,Sailing or boating rentals
Entertainment,Nintendo
Travel,VIP access to a fashion show
Travel,Cruise Tickets
Personal and Health Care,Incontinence products or supplies
Food,Food truck meals
Personal and Health Care,Health or wellness magazine subscriptions
Housing,Home Insurance
Personal and Health Care,medicines
Savings,Mutual funds
Housing,Home warranty or extended warranty coverage
Housing,Garbage covers
Housing,Utensils
Savings,Education or training expenses for investment knowledge
Travel,Private wine and cheese pairing event
Savings,Investment research or data subscription fees
Personal and Health Care,Therapy session
Personal and Health Care,BP test
Food,Idli
Housing,Home maintenance and repairs
Personal and Health Care,Sugar test
Entertainment,Online streaming service subscriptions
Savings,Vacation Savings
Travel,Gourmet cooking retreat in a picturesque location
Food,Pancakes
Entertainment,VIP concert or event experiences
Entertainment,Outdoor adventure activities
Food,Fresh herbs or spices
Entertainment,Gaming
Travel,Gourmet food and wine tour in a renowned culinary region
Housing,Broom
Travel,Fine dining restaurant meals
Housing,Home inspection fees
Personal and Health Care,Allergy testing or treatments
Entertainment,Board games or card games
Travel,Luxury train journey through picturesque landscapes
Housing,Plates
Personal and Health Care,Health savings account (HSA) contributions
Travel,Valet parking at the airport
Housing,Gloves
Travel,Gourmet chocolate and wine tasting
Food,Roti
Entertainment,Zoo or aquarium admission fees
Entertainment,Outdoor movie screenings
Entertainment,Casino night fundraisers
Food,Bulk food purchases
Housing,Vaccum cleaner
Personal and Health Care,Trimmer
Entertainment,Shows
Miscellaneous,Pencil
Housing,Sofa
Travel,Cycle
Travel,Bus Fare
Food,Sandwich
Housing,Light bulbs
Personal and Health Care,Baby care products and supplies
Entertainment,Movie theater tickets
Travel,Diving certification course
Entertainment,Online subscriptions
Travel,Car Insurance
Travel,Train charge
Savings,Mutual fund investments
Housing,Washing machine
Travel,Designer luggage set
Entertainment,Food and wine festivals
Travel,Exclusive wine cellar tour and tasting
Food,Apples
Housing,Internet and cable TV subscription
Housing,Plumbing repairs or installations
Savings,Certificate of deposit (CD) purchases
Housing,Home insurance deductible
Personal and Health Care,Hair oil
Personal and Health Care,Blood pressure machine
Housing,Chairs
Food,Salad greens or pre-packaged salads
Personal and Health Care,Pediatric vaccinations or immunizations
Personal and Health Care,Medical alert systems or personal emergency response devices
Personal and Health Care,Dental check-ups and treatments
Housing,Plates
Food,Packaged snacks or trail mixes
Miscellaneous,Notes
Entertainment,PC
Entertainment,Concert or live music event tickets
Housing,Flooring
Entertainment,Art or photography exhibitions
Food,Craft or artisanal cheese purchases
Housing,Bedding and linens
Travel,Valet parking at the airport
Travel,Customized luxury travel package
Entertainment,Trampoline park admission fees
Entertainment,Movie Tickets
Food,Freshly baked pastries or desserts
Travel,Petrol
Travel,Airfare
Housing,Water filtration or purification systems
Food,Snack food purchases
Housing,Monthly rent payment
Housing,Ovens
Personal and Health Care,Spa or relaxation retreats
Entertainment,Pub trivia or game night expenses
Savings,Tax preparation fees for investment-related income
Food,Dinner Party
Travel,VIP entrance to a popular nightclub
Housing,Home Renovation
Food,Restaurant Delivery
Personal and Health Care,Birth control methods and contraceptives
Housing,Home decor item
Travel,Front-row seats to a live concert
Personal and Health Care,Dermatologist Visit
Housing,Pest Control
Personal and Health Care,Ointments and creams
Travel,Private jet charter
Food,Mayonnaise
Housing,Home gym equipment and accessories
Travel,Designer luggage set
Entertainment,Food truck festivals or events
Housing,Mortgage payment
Food,Snacks
Housing,Landscaping materials plants
Housing,Mobile bills
Food,Hyderabadi Biryani
Travel,Custom-made tailored clothing
Food,Energy drinks or sports beverages
Personal and Health Care,Nutritional counseling or dietitian services
Personal and Health Care,Yoga Class
Travel,Taxi charge
Personal and Health Care,Dietary supplements or protein powders
Entertainment,Gambling
Travel,Diesel
Entertainment,Novels
Personal and Health Care,Makeup and cosmetics
Housing,Solar panel installation or renewable energy system costs
Savings,Financial software or investment tracking tools
Food,Craft beer or microbrew purchases
Entertainment,Live comedy or improv shows
Entertainment,Parties
Housing,Renovation or remodeling costs
Food,Falafel
Miscellaneous,Textbooks
Travel,Train booking
Travel,Auto rickshaw
Food,Gourmet chocolate or confections
Entertainment,Mobile phone
Travel,International data roaming charges
Housing,Garbage and recycling collection fees
Food,Protein powder or protein bars
Housing,Lock and key
Miscellaneous,Exam pads
Food,Spices and seasonings
Food,Baking mixes or pre-made dough
Personal and Health Care, Accessories
Travel,Uber Ride
Travel,Artisanal food souvenirs
Travel,Luxury beachfront villa rental
Personal and Health Care,Diabetic supplies
Housing,Property taxes
Savings,Cryptocurrency purchases or trading fees
Personal and Health Care,Medical tests or lab work
Personal and Health Care,Hairspray
Food,Breakfast cereal or granola purchases
Personal and Health Care,Medical or health-related mobile apps
Entertainment,Magic or illusionist shows
Travel,Scenic helicopter transfer between destinations
Entertainment,Social Events
Entertainment,Historical or architectural walking tours
Housing,professional movers
Housing,Appliances
Personal and Health Care,Manicures and pedicures
Housing,Furniture repair
Personal and Health Care,Meditation or mindfulness apps
Miscellaneous,Ruler
Entertainment,Jazz or live music club cover charges
Savings,Money market funds
Savings,Exchange-traded fund (ETF) purchases
Travel,Hotel Accommodation
Entertainment,Gaming tournaments or esports events
Food,Vada pav
Travel,Local subway or metro tickets
Travel,Private yacht charter
Food,Specialty or artisanal ice cream
Travel,Helicopter sightseeing tour
Personal and Health Care,Spa or wellness treatments
Entertainment,Paintball or laser tag fees
Personal and Health Care,Health or wellness retreats
Savings,Savings Transfer
Entertainment,Magazines
Housing,Kitchenware and cooking utensils
Food,Ice Cream
Entertainment,Cooking or baking classes
Housing,Roof repairs or replacement
Housing,Building permits and fees
Food,Salad dressing purchases
Food,Specialty teas or herbal infusions
Personal and Health Care,Doctor's office visit fees
Travel,Private car and driver for sightseeing
Entertainment,Books
Personal and Health Care,Sleep aids device
Personal and Health Care,Over-the-counter medications
Travel,Luxury camping experience in a pristine natural setting
Personal and Health Care,Acupuncture or acupressure treatments
Entertainment,Casino night fundraisers
Food,Capsicums
Housing,Lawn care equipment mower
Savings,Emergency Savings
Savings,Real estate crowdfunding investments
Entertainment,Dance parties or nightclub cover charges
Miscellaneous,Online Shopping
Food,Truffle or gourmet mushroom purchases
Housing,professional movers
Food,Bottled water purchases
Entertainment,Dance or fitness competitions
Housing,Electrical wiring upgrades or installations
Food,Baby food or formula purchases
Entertainment,Poetry slams or spoken word events
Personal and Health Care,Sports massages or sports therapy
Travel,Car repair
Food,Cheese or dairy product purchases
Food,Tacos
Food,Burger
Travel,Car
Personal and Health Care,Face wash
Entertainment,Cricket match tickets
Travel,VIP access to a music festival
Personal and Health Care,Rehabilitative services
Personal and Health Care,Aromatherapy or essential oils
Food,Chicken
Housing,Landscaping materials plants
Food,Nut or trail mix purchases
Housing,Tablesw
Food,Lobster
Personal and Health Care,Salon or barber services
Personal and Health Care,Allergy shots or immunotherapy
Housing,Architectural or design services
Housing,Flooring
Housing,Property survey costs
Savings,Membership fees for investment clubs or groups
Travel,Luggage bag
Housing,Dishwashers
Entertainment,Gaming conventions or expos
Travel,First-class train tickets
Personal and Health Care,Massage
Housing,Mop
Housing,Lawn cleaning
Miscellaneous,Magazine Subscription
Housing,Dining table
Food,Carbonated soft drink purchases
Entertainment,Wine or beer pairing dinners
Housing,Window or door replacements
Housing,Tree planting or landscaping improvements
Food,Gourmet or artisanal food purchases
Food,Pet food purchases
Entertainment,Community theater performances
Personal and Health Care,Physical therapy
Housing,gas purchase
Entertainment,Media players
Savings,Risk management or hedging strategies
Travel,Diesel
Personal and Health Care,Soap
Travel,Bike repair
Housing,Monthly rent payment
Food,Coffee shop drinks and snacks
Miscellaneous,Temple cost
Personal and Health Care,Shaving cream
Travel,Private guided tour of a famous landmark
Food,Paneer Tikka
Travel,Ola
Housing,Mop
Personal and Health Care,Rehabilitation or recovery programs like for substance abuse and addiction
Travel,Private yacht excursion to secluded beaches
Entertainment,Wine and painting classes
Savings,Private equity investments
Personal and Health Care,Prescription Medication
Personal and Health Care,Makeup and cosmetics
Housing,Painting or wallpapering services
Personal and Health Care,Elderly care or assisted living facility fees
Entertainment,Dance or ballet performance tickets
Entertainment,Sightseeing boat or cruise tours
Food,Mangoes
Personal and Health Care,Yoga or meditation retreats
Housing,Home security system monitoring fees
Housing,Home office furniture and equipment
Entertainment,Yoga or fitness classes
Savings,Annuity purchases
Personal and Health Care,Pediatric vaccinations or immunizations
Housing,Storage solutions and organizers
Food,Burgers
Housing,Septic tank cleaning and maintenance
Savings,Precious metals or commodities investments
Housing,moving truck
Food,Sushi
Housing,HVAC system maintenance or repairs
Entertainment,Magic show tickets
Food,Paella
Food,Rogan Josh
Food,Fried Chicken
Personal and Health Care,Assistive devices or mobility aids
Savings,Health savings account (HSA) contributions
Entertainment,Museum or art gallery admission fees
Personal and Health Care,Surgical procedures or operations
Entertainment,Theater or Broadway show tickets
Savings,Money market account fees
Travel,VIP meet and greet service at the airport
Savings,Retirement Savings
Housing,Home improvement supplies and tools
Entertainment,Xbox
Travel,Personalized shopping tour with a fashion consultant
Housing,Chairs
Housing,Internet Bill
Housing,Renovation Supplies
Savings,Bank loan repayment
Travel,Comprehensive travel insurance
Food,Farmers' market purchases
Housing,Wallpaper
Housing,carpet purchase
Food,Pav Bhaji
Personal and Health Care,In-home nursing care or home health aide services
Food,Croissant
Entertainment,Escape room experience fees
Travel,Laundry service at the hotel
Food,Masala Dosa
Food,Meal kit subscriptions
Food,Vegan or vegetarian food purchases
Personal and Health Care,Dermatologist visits and skincare products
Travel,Visa application fees
Housing,Storage solutions and organizers
Entertainment,Casino
Food,Malai Kofta
Personal and Health Care,Prenatal or maternity care expenses
Personal and Health Care,Spa Treatment
Personal and Health Care,Health or nutrition consultations
Personal and Health Care,Sugar / diabetes tester
Food,Imported or specialty olive oil
Food,Pani Puri
Housing,Moving-in cleaning services
Personal and Health Care,Yoga or fitness DVDs
Travel,Luxury safari in Africa
Food,Imported or exotic fruit purchases
Food,beef
Housing,Key duplication or replacement
Savings,Bonds or fixed-income investments
Savings,Gold purchase
Personal and Health Care,Facewash
Entertainment,Outdoor concerts or music festivals
Personal and Health Care,Wellness workshops or seminars
Personal and Health Care,Spa
Food,Pasta or rice purchases
Entertainment,Stand-up comedy show tickets
Housing,Electrical repairs or upgrades
Entertainment,Subscriptions
Personal and Health Care,Wrist watch
Food,Yogurt
Travel,Camping Gear
Travel,Deluxe hotel accommodation
Housing,Water Bill
Food,Instant noodle purchases
Housing,Flooring materials
Miscellaneous,Pet Supplies
Food,Frozen pizza or ready-to-eat meals
Food,Biryani
Food,Eating Out
Entertainment,Books
Housing,Wifi repair
Travel,Suite cost
Housing,Home Decor
Food,Bulk coffee or tea purchases
Travel,Car Maintenance
Food,Specialty or gourmet popcorn
Travel,Luxury villa rental
Personal and Health Care,Trimmer
Entertainment,Drum circles or musical jam sessions
Travel,Car wash and detailing services
Savings,Financial advisor fees
Housing,Screw drivers
Food,Organic or natural food purchases
Entertainment,Dance lessons or dance workshops
Savings,Stocks or shares purchases
Food,Pho
Personal and Health Care,Shampoo
Travel,Front-row seats to a Broadway musical
Personal and Health Care,Hairwasher
Travel,Exclusive access to a members-only event
Travel,Taxi Fare
Savings,Philanthropic donations or impact investing
Travel,Flight tickets
Travel,Theme Park Tickets
Travel,Exclusive golf course green fees
Entertainment,Stand-up comedy club memberships
Travel,Roundtrip airfare
Travel,Guided city tour fees
Entertainment,Virtual reality gaming experiences
Personal and Health Care,Shaving kit
Personal and Health Care,Wrist watch
Entertainment,Music
Personal and Health Care,Therapist Session
Travel,Anti-malaria medication
Entertainment,Hobbies
Food,Fast food purchases
Housing,Exterior siding repairs or replacements
Entertainment,Pilates or barre classes
Travel,Surfing lessons on a tropical beach
Housing,Window and door repairs
Miscellaneous,Scissors
Housing,Bathroom accessories and towels
Personal and Health Care,Haircuts and hairstyling services
Travel,Vehicle maintenance and repairs
Personal and Health Care,Nursing
Entertainment,Hobbies
Personal and Health Care,Herbal supplements or remedies
Personal and Health Care,Therapist Session
Savings,Disability insurance premiums
Housing,Fencing installation or repairs
Personal and Health Care,Gym
Entertainment,Cosplay or costume event tickets
Housing,Bathroom renovations or upgrades
Entertainment,Gaming console
Housing,Kitchen appliances repairs or replacements
Food,Raw or organic honey purchases
Food,Fish
Food,Specialty or exotic meats
Travel,Travel accessories
Personal and Health Care,Nursing home
Personal and Health Care,Hair conditioner
Savings,Long-term care insurance premiums
Travel,Noise-canceling headphones
Personal and Health Care,Conditioner
Housing,Wallpaper
Food,Wine or liquor purchases
Savings,Business investments or startup funding
Entertainment,Museum
Food,Sushi or sushi-grade fish purchases
Housing,Kitchenware and cooking utensils
Food,Chicken Tikka Masala
Miscellaneous,Notebooks
Personal and Health Care,Chiropractor Visit
Personal and Health Care,Allergy medication or treatments
Food,Lunch at Work
Food,Beef items
Housing,Home office setup expenses
Miscellaneous,Stationaries
Savings,Education Savings
Personal and Health Care,Fitness equipment
Food,Health or nutrition supplements
Miscellaneous,Gifts
Food,Bread
Entertainment,Hiking or nature park entrance fees
Food,Artisanal bread or bakery products
Food,Churros
Food,Fresh fruit or vegetable purchases
Housing,Rugs
Housing,Home cleaning services
Entertainment,Tennis court rental fees
Savings,Art or collectibles investments
Savings,Bitcoin
Savings,Necklace
Personal and Health Care,Sun screen
Travel,Hiking Trip
Food,Ramen
Personal and Health Care,Mental health counseling or therapy
Food,Specialty coffee or espresso beans
Savings,Contributions to retirement accounts
Food,Freshly squeezed juice or smoothies
Housing,Detergent
Food,Local or artisanal wine purchases
Housing,Pool maintenance and cleaning services
Travel,Anti-malaria medication
Housing,Desks
Travel,Gourmet chocolate and wine tasting
Travel,Expedited passport processing fees
Housing,Closing costs
Food,Flour
Food,French fries
Savings,Friend loaned
Food,Coffee
Savings,Investment
Housing,Cell Phone Bill
Housing,Electrical wiring upgrades or installations
Personal and Health Care,Dietary supplements or protein powders
Housing,Smart home devices and automation
Food,Apples
Entertainment,Magazines
Travel,Toll road charges
Housing,Flooring materials
Food,Garlic bread
Food,Fresh bread or bakery purchases
Travel,Portable travel charger
Food,Tomatoes
Housing,Moving expenses 
Housing,Renters insurance
Savings,Stock Investment
Housing,Flooring installation or refinishing
Food,Juice or fruit drink purchases
Entertainment,Skiing or snowboarding lift tickets
Food,Snacks like Munchies
Housing,Drilling machine
Entertainment,Private movie screenings or theater rentals
Entertainment,Movies
Food,Mangoes
Housing,Rental application fees
Travel,Scenic helicopter flight over a natural wonder
Entertainment,Photography or painting workshops
Housing,Home improvement or renovation expenses
Personal and Health Care,Dentist Visit
Food,Coca cola
Entertainment,Meditation or mindfulness retreats
Travel,Private art gallery tour with a curator
Food,Palak Paneer
Housing,Paint 
Food,Snacks like Lays
Personal and Health Care,Fitness Class
Miscellaneous,Art Supplies
Travel,Fine dining restaurant meals
Food,Specialty food store purchases
Housing,Sofa
Housing,House appliances
Travel,Bike
Food,Ice cream or frozen dessert purchases
Savings,Real estate investments
Personal and Health Care,Prescription medication costs
Travel,Gourmet cooking retreat in a picturesque location
Travel,Public transportation fares
Personal and Health Care,Body wash
Personal and Health Care,Rehabilation fee
Housing,Drilling machine
Housing,Property Taxes
Personal and Health Care,Runway machine
Travel,International data roaming charges
Housing,Mortgage Payment
Travel,Heliskiing adventure in the mountains
Food,Fruits
Personal and Health Care,Eye exams and prescription glasses or contact lenses
Entertainment,Stand-up paddleboarding or kayaking rentals
Food,Carrots
Food,Restaurant Dinner
Personal and Health Care,BP test
Entertainment,Sporting event tickets
Travel,Exclusive shopping experience with a personal stylist
Personal and Health Care,Shampoo
Food,Tandoori Chicken
Entertainment,Concert
Housing,Electricity Bill
Entertainment,Sporting Events
Food,Chole Bhature
Travel,Private wildlife safari in a national park
Savings,Doge coin
Housing,Mold remediation services
Travel,Uber Ride
Food,Dining out at restaurants
Personal and Health Care,First aid kit
Food,Condiments like Ketchup
Food,Meal replacement shakes or bars
Personal and Health Care,Wellness treatment
Housing,Ovens
Travel,Fine dining experience with a celebrity chef
Food,Organic or biodynamic wine purchases
Personal and Health Care,Dance Class
Miscellaneous,Movie Tickets
Food,Beer
Entertainment,Film festivals or screenings
Food,Rajma Chawal
Personal and Health Care,Orthodontic treatments or braces
Savings,Crowdfunding investments
Personal and Health Care,Acupuncture Session
Personal and Health Care,Medical textbooks or reference books
Travel,Airbnb Rental
Personal and Health Care,Grooming kit
Personal and Health Care,Thermometer
Housing,Home Security System
Entertainment,Magazines
Personal and Health Care,tanning cream
Housing,Water Bottle
Entertainment,Opera or classical music concert tickets
Travel,Flight cancellation insurance
Food,Beer or craft beer purchases
Travel,Exclusive access to a rooftop bar with panoramic views
Food,Cooking Appliances
Miscellaneous,A4 sheets
Travel,Train Fare
Housing,Furniture purchases
Entertainment,Comedy show or improv workshop fees
Housing,Homeowners association
Housing,Fire extinguishers and smoke detectors
Housing,Utilities
Food,Onions
Food,Eggs
Travel,Luxury car rental for a road trip
Entertainment,Sightseeing boat or cruise tours
Food,Oranges
Personal and Health Care,Dermatological treatments
Housing,Mobile bills
Housing,Gas bill
Housing,Home automation system installation and devices
Savings,Car fix it
Travel,Luggage bag
Housing,Home security equipment
Entertainment,Circus or acrobatics performances
Savings,Estate or wealth transfer fees
Housing,Washing machine
Personal and Health Care,Shampoo
Travel,Car insurance premiums
Food,Poori
Personal and Health Care,Vision correction surgeries
Travel,VIP access to a sporting event
Personal and Health Care,Clothing
Food,Gulab Jamun
Housing,Homeowners insurance
Housing,Outdoor furniture and accessories
Travel,Rapido
Entertainment,Music CDs
Travel,Private tour of a famous film studio
Entertainment,Carnivals
Personal and Health Care,Therapy or counseling sessions
Entertainment,TV show
Housing,Furniture purchases
Food,Organic or health food store purchases
Travel,Tickets to a Broadway show
Travel,Petrol
Housing,Security alarms cameras
Personal and Health Care,Smoking cessation programs or aids
Entertainment,Netflix
Savings,Dividend reinvestment plans (DRIPs)
Food,Craft soda or soft drinks
Entertainment,Fishing charters or equipment rentals
Savings,Investment management fees
Housing,Tree trimming or removal services
Housing,Chimney cleaning and inspection
Food,Vegetables
Personal and Health Care,Allergy shots or immunotherapy
Housing,Property management fees
Housing,Tablesw
Entertainment,Event Tickets
Personal and Health Care,Lab tests
Savings,Purchased bonds
Entertainment,Charity auctions or gala dinners
Personal and Health Care,Exercise clothing and shoes
Personal and Health Care,Blood pressure monitors or glucose meters
Housing,Tiles
Housing,Household supplies
Personal and Health Care,Health screening packages
Personal and Health Care,Orthopedic devices or braces
Personal and Health Care,Child immunizations and pediatrician visits
Housing,Stoves
Entertainment,Go-kart racing fees
Housing,Furniture and home decor purchases
Entertainment,Karaoke night fees
Personal and Health Care,Meditation Class
Food,Pasta
Food,badam
Entertainment,Skydiving or bungee jumping fees
Personal and Health Care,Massage therapy sessions
Entertainment,Media players
Entertainment,Stand-up comedy album or DVD purchases
Personal and Health Care,Vitamins and supplements
Personal and Health Care,Nursing
Food,Milk
Housing,Plumbing fixtures like sinks
Travel,Diving certification course
Housing,Furniture Purchase
Personal and Health Care,medicines
Miscellaneous,Magazine Purchase
Travel,Lonely Planet travel guidebook
Food,Grocery Store
Entertainment,Book readings or author signings
Entertainment,Comedy club tickets
Travel,Wine tasting tour in a famous wine region
Food,Chocolate or candy purchases
Housing,Water heater repairs and replacements
Personal and Health Care,Physiotherapy
Food,Cereals
Housing,Appliances purchase
Personal and Health Care,Rehabilitation equipment
Personal and Health Care,First aid kits and supplies
Food,Sashimi
Travel,Private cooking class with a renowned chef
Travel,Airport shuttle transportation
Housing,Sewer clean
Entertainment,VIP club or lounge access
Travel,Exclusive wine and cheese tasting event
Entertainment,Movies
Personal and Health Care,Childcare or daycare fees
Travel,Photographic equipment rental
Housing,Home decor and furnishings
Savings,Diversification strategies or asset allocation fees
Housing,Cleaning supplies and tools
Travel,VIP airport lounge access
Entertainment,Surfing or paddleboarding lessons
Travel,Public Transportation
Housing,Outdoor grill or barbecue equipment
Entertainment,PC
Food,Aloo Paratha
Savings,Brokerage account fees
Entertainment,Amusement park or theme park tickets
Miscellaneous,Charity Donation
Personal and Health Care,Prescription eyewear accessories such as case
Entertainment,Charity galas or fundraising events
Food,Yogurt or yogurt-based products
Entertainment,Club Membership
Personal and Health Care,Herbal supplements or remedies
Entertainment,Street fairs or local festivals
Food,Takeout
Food,Cooking oils or cooking sprays
Savings,ETFs
Miscellaneous,Tech Gadgets
Personal and Health Care,Health insurance premiums
Housing,Dishwashers
Food,Gluten-free or allergy-friendly products
Housing,Drills
Travel,Cruise ship excursion fees
Food,Fast Food Lunch
Personal and Health Care,tanning cream
Housing,Dryers
Miscellaneous,Eraser
Entertainment,Amusement Park
Entertainment,Match tickets
Entertainment,Meditation or mindfulness retreats
Food,Frozen food purchases
Travel,Private guided tour of a famous art museum
Savings,Estate or trust administration fees
Personal and Health Care,Dental Check-up
Entertainment,Antique or collectibles shows
Personal and Health Care,Gym or fitness club membership fees
Personal and Health Care,Physical therapy sessions
Food,Steak
Entertainment,Amazon prime
Entertainment,Casino
Housing,Tree planting or landscaping improvements
Entertainment,Theater
Travel,Private island resort accommodation
Entertainment,Movies 
Personal and Health Care,Medical journal subscriptions
Entertainment,Amazon prime
Entertainment,PS5
Housing,Energy-efficient appliances
Housing,buying tiles
Food,Alcohol
Food,beans
Housing,Utensils
Travel,Rental Car
Entertainment,Birthday party
Savings,Treasury bond purchases
Personal and Health Care,Occupational therapy sessions
Miscellaneous,Pen
Personal and Health Care,Health coaching or wellness programs
Entertainment,Video game purchases
Entertainment,Concert Tickets
Travel,Checked baggage fees
Personal and Health Care,Home medical equipment rentals or purchases
Personal and Health Care,Haircut
Miscellaneous,Xerox
Entertainment,Wine tasting or brewery tour fees
Travel,Car Rental
Housing,Home theater system installation and equipment
Food,Snacks and beverages from vending machines
Housing,Door knobs
Entertainment,Casino or gambling expenses
Travel,Helicopter skiing in remote mountain ranges
Entertainment,Parties
Entertainment,Wine or beer tasting events
Food,Dosa
Travel,Private guided tour of a historical site
Entertainment,Food tours or culinary experiences
Entertainment,Miniature golf or bowling alley fees
Personal and Health Care,Hearing aids and accessories
Food,Canned soups or broths
Miscellaneous,Concert Tickets
Housing,Dishwashers
Food,Freshly caught or sustainable seafood
Housing,Home Repairs
Savings,Employee stock purchase plan contributions
Miscellaneous,Gym Membership
Entertainment,Photography or painting workshops
Housing,Rent
Travel,VIP concert tickets
Food,Jalebi
Travel,Front-row seats to a Broadway musical
Travel,Motor bike
Housing,Lock and key
Savings,Robo-advisor fees
Housing,packing materials
Food,Banana
Food,Butter Chicken
Personal and Health Care,Medical conferences or seminars
Travel,Exclusive access to a private club or lounge
Food,Ethnic or international food purchases
Travel,Michelin-starred restaurant experience
Personal and Health Care,Child immunizations and pediatrician visits
Personal and Health Care, Shoes and footwear purchases
Personal and Health Care,Blood pressure monitors or glucose meters
Housing,Bedsheets
Food,biscuits
Housing,Pest control services
Personal and Health Care,Personal trainer sessions
Entertainment,Snowshoeing or cross-country skiing rentals
Savings,Education savings account contributions
Food,Meat or poultry purchases
Personal and Health Care,Weight loss programs or memberships
Food,Pongal
Housing,Garbage covers
Food,Locally sourced or farm-to-table products
Personal and Health Care,Family planning or fertility treatments
Entertainment,Music festival tickets
Travel,Personalized travel itinerary
Housing,Vaccum cleaner
Entertainment,Drama show
Entertainment,Video game purchases
Food,Baking ingredients
Entertainment,Theme Park
Food,Dim Sum
Housing,Property Maintenance
Housing,Home appraisal fees
Travel,Train Tickets
Personal and Health Care,Genetic testing or DNA analysis
Travel,Luxury spa treatments
Food,Grocery Delivery
Entertainment,Golf course green fees
Travel,Exclusive access to a private island
Savings,Portfolio rebalancing fees
Food,Curry
Savings,Gold or silver bullion purchases
Personal and Health Care,Yoga or exercise classes
Housing,Appliance purchases
Travel,Luxury river cruise
Savings,"Alternative investments example hedge funds, private placements"
Travel,Camping Gear
Travel,Parking fees
Travel,Gasoline or fuel expenses
Food,Gourmet or specialty sauces
Savings,Life insurance premiums
Travel,Private helicopter tour of a city skyline
Savings,Estate planning fees
Food,Upma
Housing,Roofing materials and supplies
Food,Samosas
Food,Butter
Food,Peking Duck
Housing,pet rent
Housing,Home maintenance books or guides
Housing,Garage door repairs or replacements
Food,Catering
Housing, Pet care expenses
Housing,Bedsheet
Entertainment,Gambling
Savings,Initial public offering (IPO) investments
Housing,hardwood purchase
Housing,water bill
Savings,Vacation
Food,Gourmet or luxury food purchases
Housing,Homeowners association special assessments
Housing,Window treatments
Personal and Health Care,Regular check up
